#Id,DestinationRatesId,TimingTag,Weight
NIGER_CALL,NIGER_CALL,*any,0
NIGER_CELL_CALL,NIGER_CELL_CALL,*any,0
NIGERIA_CALL,NIGERIA_CALL,*any,0
NIGERIA_CELL_CALL,NIGERIA_CELL_CALL,*any,0
NIUE_CALL,NIUE_CALL,*any,0
NORUEGA_CALL,NORUEGA_CALL,*any,0
NORUEGA_CELL_CALL,NORUEGA_CELL_CALL,*any,0
NUEVA_CALEDONIA_CALL,NUEVA_CALEDONIA_CALL,*any,0
NUEVA_CALEDONIA_CELL_CALL,NUEVA_CALEDONIA_CELL_CALL,*any,0
NUEVA_ZELANDA_CALL,NUEVA_ZELANDA_CALL,*any,0
NUEVA_ZELANDA_CELL_CALL,NUEVA_ZELANDA_CELL_CALL,*any,0
NUMERO_GRATUITO_INTERNACIONAL_CALL,NUMERO_GRATUITO_INTERNACIONAL_CALL,*any,0
OMAN_CALL,OMAN_CALL,*any,0
PAKISTAN_CALL,PAKISTAN_CALL,*any,0
PAKISTAN_CELL_CALL,PAKISTAN_CELL_CALL,*any,0
PALAU_CALL,PALAU_CALL,*any,0
PALESTINA_CALL,PALESTINA_CALL,*any,0
PALESTINA_CELL_CALL,PALESTINA_CELL_CALL,*any,0
PANAMA_CALL,PANAMA_CALL,*any,0
PANAMA_CELL_CALL,PANAMA_CELL_CALL,*any,0
PAPUA_NUEVA_GUINEA_CALL,PAPUA_NUEVA_GUINEA_CALL,*any,0
PAPUA_NUEVA_GUINEA_CELL_CALL,PAPUA_NUEVA_GUINEA_CELL_CALL,*any,0
PARAGUAY_CALL,PARAGUAY_CALL,*any,0
PARAGUAY_CELL_CALL,PARAGUAY_CELL_CALL,*any,0
PERU_CALL,PERU_CALL,*any,0
PERU_CELL_CALL,PERU_CELL_CALL,*any,0
POLINESIA_FRANCESA_TAHITI_CALL,POLINESIA_FRANCESA_TAHITI_CALL,*any,0
POLONIA_CALL,POLONIA_CALL,*any,0
POLONIA_CELL_CALL,POLONIA_CELL_CALL,*any,0
PORTUGAL_CALL,PORTUGAL_CALL,*any,0
PORTUGAL_CELL_CALL,PORTUGAL_CELL_CALL,*any,0
PUERTO_RICO_CALL,PUERTO_RICO_CALL,*any,0
QATAR_CALL,QATAR_CALL,*any,0
QATAR_CELL_CALL,QATAR_CELL_CALL,*any,0
REP_CONGO_CALL,REP_CONGO_CALL,*any,0
REP_CONGO_CELL_CALL,REP_CONGO_CELL_CALL,*any,0
REINO_UNIDO_CALL,REINO_UNIDO_CALL,*any,0
REINO_UNIDO_CELL_CALL,REINO_UNIDO_CELL_CALL,*any,0
REP_CENTROAFRICANA_CALL,REP_CENTROAFRICANA_CALL,*any,0
REP_CHECA_CALL,REP_CHECA_CALL,*any,0
REP_CHECA_CELL_CALL,REP_CHECA_CELL_CALL,*any,0
REP_DOMINICANA_CALL,REP_DOMINICANA_CALL,*any,0
REP_DOMINICANA_CELL_CALL,REP_DOMINICANA_CELL_CALL,*any,0
RUANDA_CALL,RUANDA_CALL,*any,0
RUANDA_CELL_CALL,RUANDA_CELL_CALL,*any,0
RUMANIA_CALL,RUMANIA_CALL,*any,0
RUMANIA_CELL_CALL,RUMANIA_CELL_CALL,*any,0
RUSIA_CALL,RUSIA_CALL,*any,0
RUSIA_CELL_CALL,RUSIA_CELL_CALL,*any,0
SAN_MARINO_CALL,SAN_MARINO_CALL,*any,0
SAN_PEDRO_Y_MIQUELON_CALL,SAN_PEDRO_Y_MIQUELON_CALL,*any,0
SAN_TOME_Y_PRINCIPE_CALL,SAN_TOME_Y_PRINCIPE_CALL,*any,0
SENEGAL_CALL,SENEGAL_CALL,*any,0
SENEGAL_CELL_CALL,SENEGAL_CELL_CALL,*any,0
SERBIA_CALL,SERBIA_CALL,*any,0
SERBIA_CELL_CALL,SERBIA_CELL_CALL,*any,0
SIERRA_LEONA_CALL,SIERRA_LEONA_CALL,*any,0
SIERRA_LEONA_CELL_CALL,SIERRA_LEONA_CELL_CALL,*any,0
SINGAPUR_CALL,SINGAPUR_CALL,*any,0
SINGAPUR_CELL_CALL,SINGAPUR_CELL_CALL,*any,0
SIRIA_CALL,SIRIA_CALL,*any,0
SIRIA_CELL_CALL,SIRIA_CELL_CALL,*any,0
SOMALIA_CALL,SOMALIA_CALL,*any,0
SRI_LANKA_CALL,SRI_LANKA_CALL,*any,0
SRI_LANKA_CELL_CALL,SRI_LANKA_CELL_CALL,*any,0
ST_HELENA_CALL,ST_HELENA_CALL,*any,0
ST_KITTS_Y_NEVIS_CALL,ST_KITTS_Y_NEVIS_CALL,*any,0
ST_LUCIA_CALL,ST_LUCIA_CALL,*any,0
ST_LUCIA_CELL_CALL,ST_LUCIA_CELL_CALL,*any,0
ST_VINCENT_Y_GRENADINES_CALL,ST_VINCENT_Y_GRENADINES_CALL,*any,0
ST_VINCENT_Y_GRENADINES_CELL_CALL,ST_VINCENT_Y_GRENADINES_CELL_CALL,*any,0
SUDAFRICA_CALL,SUDAFRICA_CALL,*any,0
SUDAFRICA_CELL_CALL,SUDAFRICA_CELL_CALL,*any,0
SUDAN_CALL,SUDAN_CALL,*any,0
SUECIA_CALL,SUECIA_CALL,*any,0
SUECIA_CELL_CALL,SUECIA_CELL_CALL,*any,0
SUIZA_CALL,SUIZA_CALL,*any,0
SUIZA_CELL_CALL,SUIZA_CELL_CALL,*any,0
SURINAM_CALL,SURINAM_CALL,*any,0
SURINAM_CELL_CALL,SURINAM_CELL_CALL,*any,0
SWAZILANDIA_CALL,SWAZILANDIA_CALL,*any,0
TAILANDIA_CALL,TAILANDIA_CALL,*any,0
TAILANDIA_CELL_CALL,TAILANDIA_CELL_CALL,*any,0
TAIWAN_CALL,TAIWAN_CALL,*any,0
TAIWAN_CELL_CALL,TAIWAN_CELL_CALL,*any,0
TANZANIA_CALL,TANZANIA_CALL,*any,0
TANZANIA_CELL_CALL,TANZANIA_CELL_CALL,*any,0
TAYIKISTAN_CALL,TAYIKISTAN_CALL,*any,0
TAYIKISTAN_CELL_CALL,TAYIKISTAN_CELL_CALL,*any,0
TOGO_CALL,TOGO_CALL,*any,0
TOGO_CELL_CALL,TOGO_CELL_CALL,*any,0
TOKELAU_CALL,TOKELAU_CALL,*any,0
TONGA_CALL,TONGA_CALL,*any,0
TRINIDAD_Y_TOBAGO_CALL,TRINIDAD_Y_TOBAGO_CALL,*any,0
TRINIDAD_Y_TOBAGO_CELL_CALL,TRINIDAD_Y_TOBAGO_CELL_CALL,*any,0
TUNEZ_CALL,TUNEZ_CALL,*any,0
TUNEZ_CELL_CALL,TUNEZ_CELL_CALL,*any,0
TURKMENISTAN_CALL,TURKMENISTAN_CALL,*any,0
TURQUIA_CALL,TURQUIA_CALL,*any,0
TURQUIA_CELL_CALL,TURQUIA_CELL_CALL,*any,0
TUVALU_CALL,TUVALU_CALL,*any,0
TUVALU_CELL_CALL,TUVALU_CELL_CALL,*any,0
UCRANIA_CALL,UCRANIA_CALL,*any,0
UCRANIA_CELL_CALL,UCRANIA_CELL_CALL,*any,0
UGANDA_CALL,UGANDA_CALL,*any,0
URUGUAY_CALL,URUGUAY_CALL,*any,0
URUGUAY_CELL_CALL,URUGUAY_CELL_CALL,*any,0
UZBEKISTAN_CALL,UZBEKISTAN_CALL,*any,0
VANUATU_CALL,VANUATU_CALL,*any,0
VATICANO_CALL,VATICANO_CALL,*any,0
VENEZUELA_CALL,VENEZUELA_CALL,*any,0
VENEZUELA_CELL_CALL,VENEZUELA_CELL_CALL,*any,0
VIETNAM_CALL,VIETNAM_CALL,*any,0
VIETNAM_CELL_CALL,VIETNAM_CELL_CALL,*any,0
WALLIS_Y_FUTUNA_CALL,WALLIS_Y_FUTUNA_CALL,*any,0
YEMEN_CALL,YEMEN_CALL,*any,0
ZAMBIA_CALL,ZAMBIA_CALL,*any,0
ZAMBIA_CELL_CALL,ZAMBIA_CELL_CALL,*any,0
ZIMBABWE_CALL,ZIMBABWE_CALL,*any,0
ZIMBABWE_CELL_CALL,ZIMBABWE_CELL_CALL,*any,0
NORUEGA_PREMIUM_CALL,NORUEGA_PREMIUM_CALL,*any,0
REINO_UNIDO_PERSONAL_CALL,REINO_UNIDO_PERSONAL_CALL,*any,0
REINO_UNIDO_ALTERNATIVE_OPERATOR_CALL,REINO_UNIDO_ALTERNATIVE_OPERATOR_CALL,*any,0
